obs,co2,methane
5:07,52.4,-0.109
5:08,53,-0.187
5:09,53.4,-0.255
5:10,53.6,-0.229
5:11,53.7,-0.007
5:12,53.8,0.254
5:13,53.8,0.33
5:14,53.8,0.102
5:15,53.3,-0.423
5:16,53,-1.139
5:17,52.9,-2.275
5:18,53.4,-2.594
5:19,54.6,-2.716
5:20,56.4,-2.51
5:21,58,-1.79
5:22,59.4,-1.346
5:23,60.2,-1.081
5:24,60,-0.91
6:01,59.4,-0.876
6:02,58.4,-0.885
6:03,57.6,-0.8
6:04,56.9,-0.544
6:05,56.4,-0.416
6:06,56,-0.271
6:07,55.7,0
6:08,55.3,0.403
6:09,55,0.841
6:10,54.4,1.285
6:11,53.7,1.607
6:12,52.8,1.746
6:13,51.6,1.683
6:14,50.6,1.485
6:15,49.4,0.993
6:16,48.8,0.648
6:17,48.5,0.577
6:18,48.7,0.577
6:19,49.2,0.632
6:20,49.8,0.747
6:21,50.4,0.9
6:22,50.7,0.993
6:23,50.9,0.968
6:24,50.7,0.79
7:01,50.5,0.399
7:02,50.4,-0.161
7:03,50.2,-0.553
7:04,50.4,-0.603
7:05,51.2,-0.424
7:06,52.3,-0.194
7:07,53.2,-0.049
7:08,53.9,0.06
7:09,54.1,0.161
7:10,54,0.301
7:11,53.6,0.517
7:12,53.2,0.566
7:13,53,0.56
7:14,52.8,0.573
7:15,52.3,0.592
7:16,51.9,0.671
7:17,51.6,0.933
7:18,51.6,1.337
7:19,51.4,1.46
7:20,51.2,1.353
7:21,50.7,0.772
7:22,50,0.218
7:23,49.4,-0.237
7:24,49.3,-0.714
8:01,49.7,-1.099
8:02,50.6,-1.269
8:03,51.8,-1.175
8:04,53,-0.676
8:05,54,0.033
8:06,55.3,0.556
8:07,55.9,0.643
8:08,55.9,0.484
8:09,54.6,0.109
8:10,53.5,-0.31
8:11,52.4,-0.697
8:12,52.1,-1.047
8:13,52.3,-1.218
8:14,53,-1.183
8:15,53.8,-0.873
8:16,54.6,-0.336
8:17,55.4,0.063
8:18,55.9,0.084
8:19,55.9,0
8:20,55.2,0.001
8:21,54.4,0.209
8:22,53.7,0.556
8:23,53.6,0.782
8:24,53.6,0.858
9:01,53.2,0.918
9:02,52.5,0.862
9:03,52,0.416
9:04,51.4,-0.336
9:05,51,-0.959
9:06,50.9,-1.813
9:07,52.4,-2.378
9:08,53.5,-2.499
9:09,55.6,-2.473
9:10,58,-2.33
9:11,59.5,-2.053
9:12,60,-1.739
9:13,60.4,-1.261
9:14,60.5,-0.569
9:15,60.2,-0.137
9:16,59.7,-0.024
9:17,59,-0.05
9:18,57.6,-0.135
9:19,56.4,-0.276
9:20,55.2,-0.534
9:21,54.5,-0.871
9:22,54.1,-1.243
9:23,54.1,-1.439
9:24,54.4,-1.422
10:01,55.5,-1.175
10:02,56.2,-0.813
10:03,57,-0.634
10:04,57.3,-0.582
10:05,57.4,-0.625
10:06,57,-0.713
10:07,56.4,-0.848
10:08,55.9,-1.039
10:09,55.5,-1.346
10:10,55.3,-1.628
10:11,55.2,-1.619
10:12,55.4,-1.149
10:13,56,-0.488
10:14,56.5,-0.16
10:15,57.1,-0.007
10:16,57.3,-0.092
10:17,56.8,-0.62
10:18,55.6,-1.086
10:19,55,-1.525
10:20,54.1,-1.858
10:21,54.3,-2.029
10:22,55.3,-2.024
10:23,56.4,-1.961
10:24,57.2,-1.952
11:01,57.8,-1.794
11:02,58.3,-1.302
11:03,58.6,-1.03
11:04,58.8,-0.918
11:05,58.8,-0.798
11:06,58.6,-0.867
11:07,58,-1.047
11:08,57.4,-1.123
11:09,57,-0.876
11:10,56.4,-0.395
11:11,56.3,0.185
11:12,56.4,0.662
11:13,56.4,0.709
11:14,56,0.605
11:15,55.2,0.501
11:16,54,0.603
11:17,53,0.943
11:18,52,1.223
11:19,51.6,1.249
11:20,51.6,0.824
11:21,51.1,0.102
11:22,50.4,0.025
11:23,50,0.382
11:24,50,0.922
12:01,52,1.032
12:02,54,0.866
12:03,55.1,0.527
12:04,54.5,0.093
12:05,52.8,-0.458
12:06,51.4,-0.748
12:07,50.8,-0.947
12:08,51.2,-1.029
12:09,52,-0.928
12:10,52.8,-0.645
12:11,53.8,-0.424
12:12,54.5,-0.276
12:13,54.9,-0.158
12:14,54.9,-0.033
12:15,54.8,0.102
12:16,54.4,0.251
12:17,53.7,0.28
12:18,53.3,0
12:19,52.8,-0.493
12:20,52.6,-0.759
12:21,52.6,-0.824
12:22,53,-0.74
12:23,54.3,-0.528
12:24,56,-0.204
13:01,57,0.034
13:02,58,0.204
13:03,58.6,0.253
13:04,58.5,0.195
13:05,58.3,0.131
13:06,57.8,0.017
13:07,57.3,-0.182
13:08,57,-0.262
